tag
"series_instance_uid (0020, 000e)"
"bits_allocated (0028, 0100)"
"high_bit (0028, 0102)"
"study_instance_uid (0020, 000d)"
"rows (0028, 0010)"
"sop_class_uid (0008, 0016)"
"photometric_interpretation (0028, 0004)"
"samples_per_pixel (0028, 0002)"
"content_time (0008, 0033)"
"bits_stored (0028, 0101)"
"modality (0008, 0060)"
"columns (0028, 0011)"
"content_date (0008, 0023)"
"pixel_representation (0028, 0103)"
"sop_instance_uid (0008, 0018)"
